,0
PREV_HOUR_APPR_PROCESS_START_MIN,0.0015177092
AMT_REQ_CREDIT_BUREAU_MON,0.0015141182
AMT_REQ_CREDIT_BUREAU_DAY,0.001514069
AMT_CREDIT,0.0014979849
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,0.0014804713
AMT_REQ_CREDIT_BUREAU_YEAR,0.0014649796
YEARS_BUILD_MEDI,0.0014612499
NAME_TYPE_SUITE_Family,0.0014548339
ORGANIZATION_TYPE_Transport__type_2,0.0014487737
CNT_FAM_MEMBERS,0.0014425542
WALLSMATERIAL_MODE_Stone__brick,0.0014061205
REGION_POPULATION_RELATIVE,0.0013454283
FLAG_EMAIL,0.0012994616
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,0.0012865369
PREV_AMT_DOWN_PAYMENT_MIN,0.0012862094
OCCUPATION_TYPE_Laborers,0.0012850304
CC_AMT_INST_MIN_REGULARITY_MAX,0.001282971
NONLIVINGAREA_MEDI,0.001272758
FLAG_EMP_PHONE,0.0012714086
PREV_AMT_APPLICATION_MAX,0.0012631033
CC_AMT_DRAWINGS_POS_CURRENT_MIN,0.0012196805
LIVE_CITY_NOT_WORK_CITY,0.0011852907
NAME_FAMILY_STATUS_Married,0.0011443262
APPROVED_AMT_ANNUITY_MAX,0.0010735755
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,0.0010654572
FLAG_OWN_REALTY,0.0010150509
ORGANIZATION_TYPE_Bank,0.0009660111
REG_CITY_NOT_WORK_CITY,0.00093041983
EMERGENCYSTATE_MODE_No,0.00089650956
PREV_PRODUCT_COMBINATION_POS_mobile_with_interest_MEAN,0.0007930349
CC_AMT_BALANCE_MEAN,0.0006847184
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.00068355416
PREV_AMT_ANNUITY_MAX,0.0006706964
CC_AMT_PAYMENT_CURRENT_MEAN,0.000660814
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0.0006472444
REFUSED_AMT_GOODS_PRICE_MIN,0.0006116601
ELEVATORS_MODE,0.0006050209
PREV_APP_CREDIT_PERC_MIN,0.0005546672
PREV_CODE_REJECT_REASON_HC_MEAN,0.00052932807
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0.00050959317
REFUSED_AMT_CREDIT_MIN,0.00046474225
CC_AMT_RECIVABLE_MAX,0.0004595917
PREV_NAME_YIELD_GROUP_high_MEAN,0.0003884332
CC_AMT_RECEIVABLE_PRINCIPAL_MIN,0.00034217024
CC_AMT_PAYMENT_CURRENT_MIN,0.0003393193
PREV_CHANNEL_TYPE_Stone_MEAN,0.00031492044
INSTAL_PAYMENT_PERC_VAR,0.00022837201
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,0.00021311376
CC_AMT_DRAWINGS_CURRENT_MIN,0.00020604125
HOUSETYPE_MODE_block_of_flats,0.00020478408
CC_CNT_DRAWINGS_POS_CURRENT_MIN,0.00017566484
CC_MONTHS_BALANCE_SUM,0.00016505641
PREV_DAYS_DECISION_MEAN,0.0001622864
CC_AMT_RECIVABLE_MIN,0.00013888319
REFUSED_HOUR_APPR_PROCESS_START_MIN,7.8463294e-05
INSTAL_DPD_SUM,4.9072496e-05
CC_CNT_INSTALMENT_MATURE_CUM_SUM,4.3479027e-05
INSTAL_PAYMENT_PERC_MEAN,3.997516e-05
BURO_CREDIT_TYPE_nan_MEAN,0.0
BURO_STATUS_0_MEAN_MEAN,0.0
BURO_STATUS_1_MEAN_MEAN,0.0
BURO_STATUS_2_MEAN_MEAN,0.0
BURO_STATUS_3_MEAN_MEAN,0.0
BURO_STATUS_C_MEAN_MEAN,0.0
BURO_STATUS_X_MEAN_MEAN,0.0
BURO_STATUS_nan_MEAN_MEAN,0.0
ACTIVE_DAYS_CREDIT_MIN,0.0
ACTIVE_DAYS_CREDIT_MAX,0.0
ACTIVE_DAYS_CREDIT_MEAN,0.0
ACTIVE_DAYS_CREDIT_VAR,0.0
ACTIVE_DAYS_CREDIT_ENDDATE_MIN,0.0
ACTIVE_DAYS_CREDIT_ENDDATE_MAX,0.0
ACTIVE_DAYS_CREDIT_ENDDATE_MEAN,0.0
ACTIVE_DAYS_CREDIT_UPDATE_MEAN,0.0
ACTIVE_CREDIT_DAY_OVERDUE_MAX,0.0
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0.0
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_MAX,0.0
ACTIVE_AMT_CREDIT_SUM_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_SUM,0.0
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,0.0
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,0.0
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,0.0
ACTIVE_AMT_ANNUITY_MAX,0.0
ACTIVE_AMT_ANNUITY_MEAN,0.0
ACTIVE_CNT_CREDIT_PROLONG_SUM,0.0
ACTIVE_MONTHS_BALANCE_MIN_MIN,0.0
ACTIVE_MONTHS_BALANCE_MAX_MAX,0.0
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,0.0
ACTIVE_MONTHS_BALANCE_SIZE_SUM,0.0
CLOSED_DAYS_CREDIT_MIN,0.0
CLOSED_DAYS_CREDIT_MAX,0.0
CLOSED_DAYS_CREDIT_MEAN,0.0
CLOSED_DAYS_CREDIT_VAR,0.0
CLOSED_DAYS_CREDIT_ENDDATE_MIN,0.0
CLOSED_DAYS_CREDIT_ENDDATE_MAX,0.0
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,0.0
CLOSED_DAYS_CREDIT_UPDATE_MEAN,0.0
CLOSED_CREDIT_DAY_OVERDUE_MAX,0.0
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0.0
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_MAX,0.0
CLOSED_AMT_CREDIT_SUM_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_SUM,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,0.0
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,0.0
CLOSED_AMT_ANNUITY_MAX,0.0
CLOSED_AMT_ANNUITY_MEAN,0.0
CLOSED_CNT_CREDIT_PROLONG_SUM,0.0
CLOSED_MONTHS_BALANCE_MIN_MIN,0.0
CLOSED_MONTHS_BALANCE_MAX_MAX,0.0
CLOSED_MONTHS_BALANCE_SIZE_MEAN,0.0
CLOSED_MONTHS_BALANCE_SIZE_SUM,0.0
ORGANIZATION_TYPE_Legal_Services,0.0
ORGANIZATION_TYPE_Mobile,0.0
ORGANIZATION_TYPE_Religion,0.0
ORGANIZATION_TYPE_Industry__type_10,0.0
ORGANIZATION_TYPE_Industry__type_13,0.0
ORGANIZATION_TYPE_Industry__type_4,0.0
ORGANIZATION_TYPE_Industry__type_5,0.0
ORGANIZATION_TYPE_Industry__type_8,0.0
PREV_AMT_APPLICATION_MEAN,0.0
PREV_AMT_CREDIT_MEAN,0.0
PREV_AMT_DOWN_PAYMENT_MAX,0.0
PREV_AMT_DOWN_PAYMENT_MEAN,0.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Electricity,0.0
ORGANIZATION_TYPE_Emergency,0.0
PREV_AMT_GOODS_PRICE_MEAN,0.0
PREV_RATE_DOWN_PAYMENT_MIN,0.0
PREV_RATE_DOWN_PAYMENT_MAX,0.0
PREV_RATE_DOWN_PAYMENT_MEAN,0.0
PREV_CNT_PAYMENT_SUM,0.0
PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_Revolving_loans_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_XNA_MEAN,0.0
PREV_NAME_CONTRACT_TYPE_nan_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_SATURDAY_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,0.0
PREV_WEEKDAY_APPR_PROCESS_START_nan_MEAN,0.0
PREV_FLAG_LAST_APPL_PER_CONTRACT_N_MEAN,0.0
PREV_FLAG_LAST_APPL_PER_CONTRACT_Y_MEAN,0.0
PREV_FLAG_LAST_APPL_PER_CONTRACT_nan_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Building_a_house_or_an_annex_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Business_development_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_garage_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_holiday_home___land_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_home_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_new_car_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Buying_a_used_car_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Car_repairs_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Education_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Everyday_expenses_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Furniture_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Gasification___water_supply_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Hobby_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Journey_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Medicine_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Payments_on_other_loans_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Purchase_of_electronic_equipment_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Repairs_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Urgent_needs_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_Wedding___gift___holiday_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_XAP_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,0.0
PREV_NAME_CASH_LOAN_PURPOSE_nan_MEAN,0.0
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,0.0
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,0.0
PREV_NAME_CONTRACT_STATUS_Unused_offer_MEAN,0.0
PREV_NAME_CONTRACT_STATUS_nan_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_Cashless_from_the_account_of_the_employer_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_Non_cash_from_your_account_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_XNA_MEAN,0.0
PREV_NAME_PAYMENT_TYPE_nan_MEAN,0.0
PREV_CODE_REJECT_REASON_CLIENT_MEAN,0.0
PREV_CODE_REJECT_REASON_LIMIT_MEAN,0.0
PREV_CODE_REJECT_REASON_SCO_MEAN,0.0
PREV_CODE_REJECT_REASON_SCOFR_MEAN,0.0
PREV_CODE_REJECT_REASON_VERIF_MEAN,0.0
PREV_CODE_REJECT_REASON_XAP_MEAN,0.0
PREV_CODE_REJECT_REASON_XNA_MEAN,0.0
PREV_CODE_REJECT_REASON_nan_MEAN,0.0
PREV_NAME_TYPE_SUITE_Children_MEAN,0.0
PREV_NAME_TYPE_SUITE_Family_MEAN,0.0
PREV_NAME_TYPE_SUITE_Group_of_people_MEAN,0.0
PREV_NAME_TYPE_SUITE_Other_A_MEAN,0.0
PREV_NAME_TYPE_SUITE_Other_B_MEAN,0.0
