feature,importance
CC_CNT_DRAWINGS_POS_CURRENT_VAR,0.0
CC_CNT_DRAWINGS_POS_CURRENT_SUM,0.0
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,0.0
CC_CNT_DRAWINGS_POS_CURRENT_MAX,0.0
CC_CNT_DRAWINGS_POS_CURRENT_MIN,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_VAR,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_SUM,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_MEAN,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_MAX,0.0
CC_CNT_DRAWINGS_OTHER_CURRENT_MIN,0.0
CC_CNT_DRAWINGS_CURRENT_VAR,0.0
CC_NAME_CONTRACT_STATUS_Active_MIN,0.0
CC_NAME_CONTRACT_STATUS_Active_MEAN,0.0
CC_AMT_BALANCE_MEAN,0.0
CC_NAME_CONTRACT_STATUS_Sent_proposal_MEAN,0.0
CC_NAME_CONTRACT_STATUS_nan_VAR,0.0
CC_NAME_CONTRACT_STATUS_nan_SUM,0.0
CC_NAME_CONTRACT_STATUS_nan_MEAN,0.0
CC_NAME_CONTRACT_STATUS_nan_MAX,0.0
CC_NAME_CONTRACT_STATUS_nan_MIN,0.0
CC_NAME_CONTRACT_STATUS_Signed_VAR,0.0
CC_NAME_CONTRACT_STATUS_Signed_SUM,0.0
CC_NAME_CONTRACT_STATUS_Signed_MEAN,0.0
CC_NAME_CONTRACT_STATUS_Signed_MAX,0.0
CC_NAME_CONTRACT_STATUS_Signed_MIN,0.0
CC_NAME_CONTRACT_STATUS_Sent_proposal_VAR,0.0
CC_NAME_CONTRACT_STATUS_Sent_proposal_SUM,0.0
CC_NAME_CONTRACT_STATUS_Sent_proposal_MAX,0.0
CC_NAME_CONTRACT_STATUS_Active_SUM,0.0
CC_NAME_CONTRACT_STATUS_Sent_proposal_MIN,0.0
CC_NAME_CONTRACT_STATUS_Demand_VAR,0.0
CC_NAME_CONTRACT_STATUS_Demand_SUM,0.0
CC_NAME_CONTRACT_STATUS_Demand_MEAN,0.0
CC_NAME_CONTRACT_STATUS_Demand_MAX,0.0
CC_NAME_CONTRACT_STATUS_Demand_MIN,0.0
CC_NAME_CONTRACT_STATUS_Completed_VAR,0.0
CC_NAME_CONTRACT_STATUS_Completed_SUM,0.0
CC_NAME_CONTRACT_STATUS_Completed_MEAN,0.0
CC_NAME_CONTRACT_STATUS_Completed_MAX,0.0
CC_NAME_CONTRACT_STATUS_Completed_MIN,0.0
CC_NAME_CONTRACT_STATUS_Active_VAR,0.0
CC_CNT_DRAWINGS_CURRENT_SUM,0.0
CC_CNT_DRAWINGS_CURRENT_MEAN,0.0
CC_CNT_DRAWINGS_CURRENT_MAX,0.0
CC_AMT_DRAWINGS_CURRENT_SUM,0.0
NAME_TYPE_SUITE_Group_of_people,0.0
CC_AMT_DRAWINGS_POS_CURRENT_VAR,0.0
CC_AMT_DRAWINGS_POS_CURRENT_SUM,0.0
CC_AMT_DRAWINGS_POS_CURRENT_MEAN,0.0
CC_AMT_DRAWINGS_POS_CURRENT_MAX,0.0
NAME_TYPE_SUITE_Other_A,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_VAR,0.0
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,0.0
